wavelength,intensity
603.41,0.09
603.746,0.09
604.082,0.09
604.418,0.09
604.754,0.08
605.09,0.08
605.426,0.08
605.762,0.08
606.098,0.08
606.434,0.08
606.769,0.08
607.105,0.08
607.441,0.07
607.776,0.07
608.112,0.07
608.447,0.07
608.783,0.07
609.118,0.07
609.453,0.07
609.789,0.06
610.124,0.06
610.459,0.06
610.794,0.06
611.129,0.06
611.464,0.06
611.799,0.06
612.134,0.06
612.469,0.06
612.804,0.05
613.139,0.05
613.474,0.05
613.808,0.05
614.143,0.05
614.478,0.05
614.812,0.05
615.147,0.05
615.481,0.05
615.816,0.05
616.15,0.05
616.484,0.05
616.818,0.05
617.153,0.05
617.487,0.05
617.821,0.04
618.155,0.04
618.489,0.04
618.823,0.04
619.157,0.04
619.491,0.04
619.824,0.04
620.158,0.04
620.492,0.04
620.826,0.04
621.159,0.04
621.493,0.04
621.826,0.04
622.16,0.03
622.493,0.03
622.826,0.03
623.16,0.03
623.493,0.03
623.826,0.03
624.159,0.03
624.492,0.03
624.825,0.03
625.158,0.03
625.491,0.03
625.824,0.03
626.157,0.03
626.49,0.03
626.823,0.03
627.155,0.03
627.488,0.03
627.821,0.03
628.153,0.03
628.486,0.03
628.818,0.02
629.151,0.02
629.483,0.03
629.815,0.03
630.148,0.03
630.48,0.03
630.812,0.03
631.144,0.03
631.476,0.02
631.808,0.03
632.14,0.03
632.472,0.03
632.804,0.03
633.136,0.02
633.467,0.02
633.799,0.03
634.131,0.02
634.462,0.03
634.794,0.03
635.125,0.03
635.457,0.03
635.788,0.03
636.12,0.03
636.451,0.03
636.782,0.03
637.113,0.03
637.444,0.03
637.776,0.03
638.107,0.03
638.438,0.03
638.769,0.03
639.099,0.03
639.43,0.03
639.761,0.03
640.092,0.03
640.422,0.03
640.753,0.03
641.084,0.03
641.414,0.03
641.745,0.03
642.075,0.03
642.406,0.03
642.736,0.03
643.066,0.03
643.396,0.03
643.727,0.03
644.057,0.03
644.387,0.03
644.717,0.03
645.047,0.03
645.377,0.03
645.707,0.03
646.037,0.03
646.366,0.03
646.696,0.03
647.026,0.03
647.355,0.03
647.685,0.03
648.015,0.03
648.344,0.03
648.673,0.03
649.003,0.03
649.332,0.03
649.661,0.03
649.991,0.03
650.32,0.03
650.649,0.03
650.978,0.04
651.307,0.03
651.636,0.04
651.965,0.04
652.294,0.04
652.623,0.04
652.951,0.04
653.28,0.04
653.609,0.04
653.937,0.04
654.266,0.03
654.594,0.03
654.923,0.03
655.251,0.03
655.58,0.03
655.908,0.03
656.236,0.03
656.565,0.03
656.893,0.03
657.221,0.03
657.549,0.03
657.877,0.03
658.205,0.03
658.533,0.04
658.861,0.04
659.188,0.04
659.516,0.04
659.844,0.04
660.171,0.04
660.499,0.04
660.827,0.04
661.154,0.04
661.482,0.04
661.809,0.04
662.136,0.04
662.464,0.04
662.791,0.04
663.118,0.04
663.445,0.04
663.772,0.04
664.099,0.04
664.426,0.04
664.753,0.04
665.08,0.04
665.407,0.04
665.734,0.04
666.06,0.04
666.387,0.04
666.714,0.04
667.04,0.04
667.367,0.04
667.693,0.04
668.02,0.04
668.346,0.04
668.672,0.04
668.999,0.04
669.325,0.04
669.651,0.04
669.977,0.04
670.303,0.04
670.629,0.04
670.955,0.04
671.281,0.04
671.607,0.04
671.933,0.04
672.258,0.04
672.584,0.04
672.91,0.04
673.235,0.04
673.561,0.04
673.886,0.04
674.212,0.04
674.537,0.04
674.863,0.04
675.188,0.04
675.513,0.04
675.838,0.04
676.163,0.04
676.489,0.04
676.814,0.04
677.139,0.04
677.464,0.04
677.788,0.04
678.113,0.04
678.438,0.04
678.763,0.04
679.087,0.04
679.412,0.04
679.737,0.04
680.061,0.04
680.386,0.04
680.71,0.05
681.034,0.05
681.359,0.05
681.683,0.05
682.007,0.05
682.331,0.05
682.655,0.05
682.979,0.04
683.303,0.04
683.627,0.04
683.951,0.04
684.275,0.04
684.599,0.04
684.923,0.04
685.246,0.04
685.57,0.04
685.893,0.04
686.217,0.04
686.541,0.04
686.864,0.04
687.187,0.04
687.511,0.04
687.834,0.04
688.157,0.04
688.48,0.04
688.803,0.04
689.126,0.04
689.449,0.04
689.772,0.04
690.095,0.04
690.418,0.04
690.741,0.04
691.064,0.04
691.386,0.04
691.709,0.04
692.032,0.04
692.354,0.04
692.677,0.04
692.999,0.04
693.322,0.04
693.644,0.04
693.966,0.04
694.288,0.04
694.611,0.04
694.933,0.04
695.255,0.04
695.577,0.04
695.899,0.04
696.221,0.04
696.543,0.04
696.864,0.04
697.186,0.04
697.508,0.04
697.83,0.04
698.151,0.04
698.473,0.04
698.794,0.04
699.116,0.04
699.437,0.04
699.758,0.04
700.08,0.04
700.401,0.04
700.722,0.04
701.043,0.04
701.364,0.04
701.685,0.04
702.006,0.04
702.327,0.04
702.648,0.04
702.969,0.04
703.29,0.04
703.61,0.04
703.931,0.04
704.252,0.04
704.572,0.04
704.893,0.04
705.213,0.04
705.534,0.04
705.854,0.04
706.174,0.04
706.494,0.04
706.815,0.04
707.135,0.04
707.455,0.04
707.775,0.04
708.095,0.04
708.415,0.04
708.735,0.04
709.054,0.04
709.374,0.04
709.694,0.04
710.014,0.04
710.333,0.04
710.653,0.04
710.972,0.04
711.292,0.04
711.611,0.04
711.931,0.04
712.25,0.04
712.569,0.04
712.888,0.04
713.207,0.03
713.526,0.04
713.846,0.03
714.164,0.03
714.483,0.03
714.802,0.03
715.121,0.03
715.44,0.04
715.759,0.04
716.077,0.04
716.396,0.04
716.714,0.04
717.033,0.04
717.351,0.04
717.67,0.04
717.988,0.04
718.306,0.04
718.625,0.04
718.943,0.04
719.261,0.04
719.579,0.04
719.897,0.04
720.215,0.04
720.533,0.04
720.851,0.04
721.169,0.04
721.486,0.04
721.804,0.04
722.122,0.04
722.439,0.04
722.757,0.04
723.074,0.04
723.392,0.04
723.709,0.03
724.027,0.03
724.344,0.03
724.661,0.03
724.978,0.03
725.295,0.03
725.612,0.03
725.929,0.03
726.246,0.03
726.563,0.03
726.88,0.03
727.197,0.03
727.514,0.03
727.83,0.03
728.147,0.03
